Keyword,Occurrences,Details
art,5,2002: Every art is an imitation of nature.; 2002: Art and Morality.; 2003: Art Critics and reviewers.; 2007: Politics is the art of possible; 2019: Art for peace.
higher,6,"2002: Higher Science Education in the developing countries.; 2002: Higher Economic problems in Pakistan and how to meet them.; 2007: Higher Education as an agent of change; 2014: Privatizing higher education-generating knowledge or making more money for the opulent.; 2018: Higher Education in Pakistan: Ills and Remedies.; 2023: To encourage healthy eating, higher taxes should be imposed on soft drinks and junk food."
problems,3,2002: Austerity as a solution of all our economic problems.; 2002: Higher Economic problems in Pakistan and how to meet them.; 2018: The Emerging Power of Social Media: Prospects and Problems.
religion,3,2002: A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth man's minds about to religion.; 2008: Peace the essential message of our religion; 2010: Religion has done more harm than help to human relations in the world.
morality,3,"2002: Art and Morality.; 2005: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2006: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality."
need,4,"2002: Of all the needs a book has, the chief need is that it be readable.; 2002: Need for serious planning in technical education in Pakistan.; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building.; 2020: Do we really need literature in our lives?"
men,3,2003: Only the wisest and stupidest of men never change. — Kung Fu-tzu (Confucius).; 2010: Can women be equal to men in Pakistan?; 2013: There should be colleges and schools just for men/boys and some just for women/girls.
change,4,"2003: Only the wisest and stupidest of men never change. — Kung Fu-tzu (Confucius).; 2007: Higher Education as an agent of change; 2017: Ideologies thrive on notions of resistance, yet change is a simulation.; 2020: Women universities as agents of change."
islam,5,2004: Pluralistic vision of Islam.; 2005: Islam versus the West.; 2006: Islam versus the West.; 2007: The image of Islam in the western world and responsibilities of the Muslim Ummah; 2012: Social and Economic Securities for Women in Islam.
modern,5,"2004: Modern Banking, finance and employment are part of one single paradigm.; 2011: Without good communication skills, life becomes impossible in the modern world.; 2013: Modern day communication via social networks puts an end to true and sincere relationships.; 2014: Post-modern ethos – a challenge to the West.; 2017: Are modern wars not holy wars?"
one,4,"2004: Modern Banking, finance and employment are part of one single paradigm.; 2017: Being a minority is a fate no one wants. Can nationalism be really inclusive?; 2017: Life without controversy is no life. But why one should not choose the safe haven of conformism?; 2023: The one who uses force is afraid of reasoning."
socio,3,2005: Socio-Economic Challenges faced by Pakistan.; 2006: Socio-Economic Challenges faced by Pakistan.; 2018: China – Pakistan Economic Corridor (CPEC) and its Socio-economic Implications for the Region and the World.
challenges,5,"2005: Socio-Economic Challenges faced by Pakistan.; 2006: Socio-Economic Challenges faced by Pakistan.; 2016: Promotion of tax culture in Pakistan: Perspective, prospects and challenges.; 2020: Polarized politics: the issues and challenges of democracy in Pakistan.; 2020: Promoting tourism in Pakistan: opportunities and challenges."
own,4,"2005: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2006: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2016: We have to learn to be our own best friends, because we fall too easily into the trap of being our own worst enemies."
culture,5,"2005: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2006: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2012: Democracy is a culture rather than a process.; 2016: Promotion of tax culture in Pakistan: Perspective, prospects and challenges.; 2019: New waves of feminism and our culture."
driving,3,"2005: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2006: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2024: Hope: the greatest driving force."
just,5,"2005: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2006: Estrangement from our own culture is driving us on the verge of collapse, not just our identity but also morality.; 2013: There should be colleges and schools just for men/boys and some just for women/girls.; 2018: Real development should transform people’s lives, not just economic statistics."
reforms,3,2005: Reforms in Examination systems.; 2006: Reforms in Examination systems; 2016: Crisis of good governance in Pakistan: Need for reforms and institution building.
systems,4,2005: Reforms in Examination systems.; 2006: Reforms in Examination systems; 2012: A Critical Analysis of Education Systems in Pakistan.; 2022: World food systems: the economics of agriculture.
poor,3,2005: Persecuted poor woman.; 2006: Persecuted poor woman.; 2010: Pakistan is rich in natural resources but very poor in their management.
woman,4,"2005: Persecuted poor woman.; 2006: Persecuted poor woman.; 2011: Does Pakistan society regard woman as the angel in the house or source of all evils?; 2016: Frailty, thy name is woman."
truth,5,"2005: The search for truth.; 2006: The search for truth.; 2010: Without independent truth-finding commission, accountability is unachievable.; 2011: Truth is a rare commodity despite the freedom by the print and electronic media; 2019: Truth is lived, not taught."
west,3,2005: Islam versus the West.; 2006: Islam versus the West.; 2014: Post-modern ethos – a challenge to the West.
future,4,2007: The future of mankind in a global warming perspective; 2008: Dreams for future rely on the work of today.; 2019: Classrooms decide the future of the nation.; 2020: Pakistan and the future of Kashmir cause.
global,7,"2007: The future of mankind in a global warming perspective; 2008: Global Warming, fact or fiction?; 2016: World as a global village: Learning to live together.; 2018: The threat of Global Warming and the ways to counter it.; 2020: Global power dynamics and Pakistan’s foreign policy.; 2022: Global trade and trade policies of China.; 2022: Global politics and international relations."
warming,3,"2007: The future of mankind in a global warming perspective; 2008: Global Warming, fact or fiction?; 2018: The threat of Global Warming and the ways to counter it."
backward,3,2007: A country is backward because its people are backward; 2021: Human inventions move the societies backward.
because,3,"2007: A country is backward because its people are backward; 2016: We have to learn to be our own best friends, because we fall too easily into the trap of being our own worst enemies.; 2018: Too many of us are not living our dreams because we are living our fears."
globalization,5,"2007: Globalization and electronic media; 2017: Brexit means globalization is the rhetoric of the privileged, and capitalism will return ferociously as ever.; 2021: Pros and cons of globalization.; 2022: An analysis of the concept of globalization of markets.; 2024: Globalization and National Economics."
media,5,2007: Globalization and electronic media; 2011: Truth is a rare commodity despite the freedom by the print and electronic media; 2018: The Emerging Power of Social Media: Prospects and Problems.; 2022: Digital democracy: social media and political participation.; 2022: How is terrorism and its perception shaped by the Mass Media?
new,7,"2007: Terrorism as a new threat to the contemporary world; 2014: Women sportspersons as new ambassadors of the soft image of Pakistan.; 2015: The introduction of new digital technologies has radically altered identities.; 2016: The creation of new provinces in Pakistan: Implications for an integrated country.; 2019: New war fronts lie in economic zones.; 2019: New waves of feminism and our culture.; 2024: CPEC and Indo-Middle East – Europe, new war fronts."
women,7,2007: The state of women rights in Pakistan; 2010: Can women be equal to men in Pakistan?; 2012: Social and Economic Securities for Women in Islam.; 2013: There should be colleges and schools just for men/boys and some just for women/girls.; 2014: Women sportspersons as new ambassadors of the soft image of Pakistan.; 2020: Women universities as agents of change.; 2022: The controversial issues of feminism in contemporary women’s rights movements.
rights,5,"2007: The state of women rights in Pakistan; 2010: All humans are born equal in dignity and rights but they are in shackles everywhere.; 2015: The war on terror has contributed to the growing abuse of human rights.; 2018: In the fight against terrorism and corruption, it is imperative not to compromise human rights and civil liberties.; 2022: The controversial issues of feminism in contemporary women’s rights movements."
cause,3,2008: Moral depravity is the root cause of poverty.; 2012: Obesity is the root cause of all diseases.; 2020: Pakistan and the future of Kashmir cause.
peace,3,2008: Peace the essential message of our religion; 2017: More and more International military engagements by the United Nations; is the world moving towards peace?; 2019: Art for peace.
management,3,2008: Time management is the key note of success.; 2010: Pakistan is rich in natural resources but very poor in their management.; 2011: Disaster management and government preparedness
disaster,3,2008: Lack of discipline - a national disaster.; 2011: Disaster management and government preparedness; 2020: IMF bailouts: roads to stability or recipes for disaster.
death,4,"2008: Materialism in the death of spirituality.; 2015: I disapprove of what you say, but I defend to death your right to say.; 2020: I do not agree with what you have to say, but I’ll defend to the death your right to say it.; 2024: Artificial Intelligence: The death of creativity."
third,3,2008: Can we prevent the Third World War?; 2010: Why is there no status of the third gender in Pakistan?; 2017: Feminism is not really a Third World issue.
war,5,"2008: Can we prevent the Third World War?; 2015: The war on terror has contributed to the growing abuse of human rights.; 2019: New war fronts lie in economic zones.; 2021: Intercultural communication is panacea to avoid 3rd world war.; 2024: CPEC and Indo-Middle East – Europe, new war fronts."
literature,5,2010: Literature is the best criticism of life.; 2014: Literature as a great cultural artifact.; 2017: Literature is a lonely planet of idealists.; 2019: Urdu literature and Progressive Movement.; 2020: Do we really need literature in our lives?
life,10,"2010: Literature is the best criticism of life.; 2011: Without good communication skills, life becomes impossible in the modern world.; 2011: Fair play and life, as it is lived, in the land of the pure.; 2013: Country life is better than city life.; 2015: When life throws you lemons, make lemonade.; 2017: Life without controversy is no life. But why one should not choose the safe haven of conformism?; 2018: Beware the barrenness of a busy life!; 2021: I fall upon the thorns of life! I bleed."
equal,3,2010: All humans are born equal in dignity and rights but they are in shackles everywhere.; 2010: Can women be equal to men in Pakistan?; 2023: Both parents should assume equal responsibility in raising a child.
gender,4,2010: Why is there no status of the third gender in Pakistan?; 2013: Gender equality is a myth.; 2016: Gender equality is a myth!; 2021: Gender equality: A popular slogan.
without,4,"2010: Without independent truth-finding commission, accountability is unachievable.; 2011: Without good communication skills, life becomes impossible in the modern world.; 2014: Great nations win without fighting.; 2017: Life without controversy is no life. But why one should not choose the safe haven of conformism?"
communication,3,"2011: Without good communication skills, life becomes impossible in the modern world.; 2013: Modern day communication via social networks puts an end to true and sincere relationships.; 2021: Intercultural communication is panacea to avoid 3rd world war."
does,3,2011: In this country reason does not apply to anything.; 2011: Does Pakistan society regard woman as the angel in the house or source of all evils?; 2016: Does foreign aid help to achieve economic stability?
nations,4,"2011: Insanity in individuals is something rare but in groups, parties and nations it is the rule.; 2012: The United Nations in the 21st Century: Obligations and Limitations.; 2014: Great nations win without fighting.; 2017: More and more International military engagements by the United Nations; is the world moving towards peace?"
democracy,5,2012: Democracy is a culture rather than a process.; 2018: Democracy in Pakistan: Hopes and Hurdles.; 2019: Democracy and Illiteracy do not move together.; 2020: Polarized politics: the issues and challenges of democracy in Pakistan.; 2022: Digital democracy: social media and political participation.
social,5,2012: Social and Economic Securities for Women in Islam.; 2013: Modern day communication via social networks puts an end to true and sincere relationships.; 2014: Language is a fit data for research in humanities and social sciences.; 2018: The Emerging Power of Social Media: Prospects and Problems.; 2022: Digital democracy: social media and political participation.
boys,3,2013: There should be colleges and schools just for men/boys and some just for women/girls.; 2023: Boys will be boys.
equality,4,2013: Gender equality is a myth.; 2016: Gender equality is a myth!; 2021: Universal human equality is utopic.; 2021: Gender equality: A popular slogan.
myth,3,2013: Gender equality is a myth.; 2016: Gender equality is a myth!; 2018: Will “Rule of law” always remain an impracticable myth in our country?
meaning,3,2013: Meaning and purpose of education.; 2014: Can meaning be fixed?; 2021: Meaning purposive education.
digital,3,2015: The introduction of new digital technologies has radically altered identities.; 2020: Is Pakistan ready for digital revolution?; 2022: Digital democracy: social media and political participation.
say,4,"2015: I disapprove of what you say, but I defend to death your right to say.; 2020: I do not agree with what you have to say, but I’ll defend to the death your right to say it."
urdu,3,2016: The place of Urdu in Pakistan and Supreme Court’s ruling on making Urdu the official language of the country.; 2019: Urdu literature and Progressive Movement.
prospects,3,"2016: Promotion of tax culture in Pakistan: Perspective, prospects and challenges.; 2018: The Emerging Power of Social Media: Prospects and Problems.; 2024: Brics and Pakistan: Prospects of Recovery."
feminism,3,2017: Feminism is not really a Third World issue.; 2019: New waves of feminism and our culture.; 2022: The controversial issues of feminism in contemporary women’s rights movements.
really,3,2017: Feminism is not really a Third World issue.; 2017: Being a minority is a fate no one wants. Can nationalism be really inclusive?; 2020: Do we really need literature in our lives?
economics,3,2022: World food systems: the economics of agriculture.; 2024: Phase out of fossil fuel and Arab Economics.; 2024: Globalization and National Economics.
